2016/10/15,3052
2016/10/16,1514
2016/10/17,2624
2016/10/18,2875
2016/10/19,3116
2016/10/20,2882
2016/10/21,2872
2016/10/22,2932
2016/10/23,1664
2016/10/24,2796
2016/10/25,2912
2016/10/26,2615
2016/10/27,2788
2016/10/28,2855
2016/10/29,2840
2016/10/30,704
2016/10/31,2160
2016/11/1,2502
2016/11/2,3315
2016/11/3,2859
2016/11/4,2965
2016/11/5,2968
2016/11/6,1329
2016/11/7,2224
2016/11/8,3130
2016/11/9,2985
2016/11/10,3004
2016/11/11,2876
2016/11/12,2800
2016/11/13,503
2016/11/14,2316
2016/11/15,2814
2016/11/16,2764
2016/11/17,2826
2016/11/18,2881
2016/11/19,2994
2016/11/20,1283
2016/11/21,2742
2016/11/22,2864
2016/11/23,2690
2016/11/24,2828
2016/11/25,2667
2016/11/26,2819
2016/11/27,865
2016/11/28,2580
2016/11/29,2906
2016/11/30,2666
2016/12/1,2665
2016/12/2,2944
2016/12/3,2190
2016/12/4,1035
2016/12/5,2589
2016/12/6,2636
2016/12/7,2330
2016/12/8,2712
2016/12/9,2739
2016/12/10,2354
2016/12/11,1132
2016/12/12,2934
2016/12/13,2964
2016/12/14,2826
2016/12/15,2886
2016/12/16,2599
2016/12/17,2127
2016/12/18,995
2016/12/19,2648
2016/12/20,2843
2016/12/21,2743
2016/12/22,2779
2016/12/23,2348
2016/12/24,2208
2016/12/25,674
2016/12/26,2240
2016/12/27,2454
2016/12/28,2406
2016/12/29,1705
2016/12/30,916
2017/1/1,172
2017/1/2,2514
2017/1/3,2817
2017/1/4,2275
2017/1/5,2962
2017/1/6,3104
2017/1/7,2694
2017/1/8,1089
2017/1/9,2719
2017/1/10,2921
2017/1/11,2704
2017/1/12,3048
2017/1/13,2875
2017/1/14,2795
2017/1/15,1072
2017/1/16,2888
2017/1/17,2794
2017/1/18,2873
2017/1/19,2847
2017/1/20,2821
2017/1/21,2248
2017/1/22,2225
2017/1/23,1899
2017/1/24,1716
2017/1/25,2027
2017/1/26,1610
2017/1/27,880
2017/1/29,968
2017/1/30,1097
2017/1/31,957
2017/2/1,1336
2017/2/2,1099
2017/2/3,1779
2017/2/4,1508
2017/2/5,1077
2017/2/6,1678
2017/2/7,1764
2017/2/8,1703
2017/2/9,1772
2017/2/10,1841
2017/2/11,1095
2017/2/12,567
2017/2/13,1699
2017/2/14,1913
2017/2/15,1893
2017/2/16,1856
2017/2/17,1854
2017/2/18,1745
2017/2/19,642
2017/2/20,1727
2017/2/21,1809
2017/2/22,1842
2017/2/23,1787
2017/2/24,1868
2017/2/25,1762
2017/2/26,302
2017/2/27,1729
2017/2/28,1435
2017/3/1,2045
2017/3/2,2428
2017/3/3,2210
2017/3/4,1777
2017/3/5,546
2017/3/6,1791
2017/3/7,2152
2017/3/8,1951
2017/3/9,1921
2017/3/10,1925
2017/3/11,1326
2017/3/12,528
2017/3/13,2288
2017/3/14,2265
2017/3/15,2256
2017/3/16,2294
2017/3/17,1995
2017/3/18,1059
2017/3/19,108
2017/3/20,2054
2017/3/21,2133
2017/3/22,2413
2017/3/23,2240
2017/3/24,2042
2017/3/25,1749
2017/3/26,155
2017/3/27,2085
2017/3/28,2203
2017/3/29,2368
2017/3/30,2307
2017/3/31,1620
2017/4/1,11
2017/4/5,2258
2017/4/6,2989
2017/4/7,2786
2017/4/8,2899
2017/4/9,1476
2017/4/10,2124
2017/4/11,2670
2017/4/12,2626
2017/4/13,2535
2017/4/14,2602
2017/4/15,2099
2017/4/16,244
2017/4/17,2325
2017/4/18,2583
2017/4/19,2890
2017/4/20,2645
2017/4/21,2503
2017/4/22,2082
2017/4/23,778
2017/4/24,2198
2017/4/25,2540
2017/4/26,2677
2017/4/27,2493
2017/4/28,2208
2017/4/29,1419
2017/5/1,1
2017/5/2,2211
2017/5/3,3147
2017/5/4,2730
2017/5/5,2804
2017/5/6,2687
2017/5/7,1123
2017/5/8,2639
2017/5/9,2746
2017/5/10,2908
2017/5/11,2833
2017/5/12,2864
2017/5/13,2260
2017/5/14,947
2017/5/15,2725
2017/5/16,2981
2017/5/17,2847
2017/5/18,2866
2017/5/19,2902
2017/5/20,2804
2017/5/21,1152
2017/5/22,2611
2017/5/23,2713
2017/5/24,2918
2017/5/25,2860
2017/5/26,2825
2017/5/27,2790
2017/5/28,876
2017/5/29,375
2017/5/30,1051
2017/5/31,2302
2017/6/1,2684
2017/6/2,2947
2017/6/3,2692
2017/6/4,1145
2017/6/5,2402
2017/6/6,2687
2017/6/7,2794
2017/6/8,2825
2017/6/9,2788
2017/6/10,1925
2017/6/11,844
2017/6/12,2332
2017/6/13,2717
2017/6/14,2723
2017/6/15,2753
2017/6/16,2815
2017/6/17,1861
2017/6/18,1106
2017/6/19,2364
2017/6/20,2950
2017/6/21,2653
2017/6/22,2777
2017/6/23,2695
2017/6/24,1979
2017/6/25,249
2017/6/26,2366
2017/6/27,2853
2017/6/28,2824
2017/6/29,2565
2017/6/30,2609
2017/7/1,2038
2017/7/2,937
2017/7/3,2651
2017/7/4,3205
2017/7/5,2581
2017/7/6,2736
2017/7/7,2832
2017/7/8,1570
2017/7/9,1511
2017/7/10,2713
2017/7/11,2850
2017/7/12,2538
2017/7/13,2641
2017/7/14,2994
2017/7/15,2196
2017/7/16,1364
2017/7/17,2444
2017/7/18,2830
2017/7/19,3034
2017/7/20,2826
2017/7/21,2690
2017/7/22,2370
2017/7/23,994
2017/7/24,2413
2017/7/25,2772
2017/7/26,2831
2017/7/27,2674
2017/7/28,2767
2017/7/29,2235
2017/7/30,283
2017/7/31,1943
2017/8/1,2969
2017/8/2,3002
2017/8/3,2924
2017/8/4,2809
2017/8/5,2273
2017/8/6,1110
2017/8/7,1334
2017/8/8,1679
2017/8/9,1606
2017/8/10,1501
2017/8/11,1787
2017/8/12,899
2017/8/13,657
2017/8/14,1915
2017/8/15,1389
